Mixture	B cells	CD4 Naive	CD4 Memory	CD8 Naive	CD8 Memory	CD8 Effector	Treg cell	Th cell	Monocytes CD16	Monocytes CD14	DC	pDC	NK	Plasma	P-value	Correlation	RMSE
TCGA-A1-A0SP	0	0.059	0.09	0	0.032	0	0	0.01	0.109	0.0001	0.173	0.23	0.001	0.267	0.09	0.492	0.905
TCGA-EW-A1IZ	0	0.045	0.063	0	0	0.067	0	0	0	0	0	0.365	0	0.46	0.06	0.568	0.848
TCGA-UL-AAZ6	0	0.031	0.076	0	0.01	0	0	0.014	0.04	0	0.082	0.382	0	0.376	0.02	0.666	0.856
TCGA-A2-A3XU	0	0.062	0.109	0	0.028	0	0	0.005	0.104	0	0.166	0.202	0	0.275	0.08	0.517	0.899
TCGA-A7-A6VY	0	0.028	0.09	0	0.016	0	0	0.014	0.095	0	0.211	0.194	0	0.277	0.06	0.56	0.896
TCGA-A2-A0T1	0	0.027	0.075	0	0.037	0	0	0.04	0.042	0.002	0.109	0.344	0	0.326	0.12	0.434	0.914
TCGA-BH-A5J0	0	0.009	0.089	0	0.023	0	0	0.036	0.056	0	0.115	0.343	0	0.328	0.07	0.523	0.895
TCGA-AR-A5QQ	0	0.026	0.086	0	0.037	0	0	0.016	0.136	0.039	0.202	0.23	0	0.228	0.07	0.525	0.905
TCGA-B6-A409	0	0.031	0.062	0	0.023	0	0	0.02	0.016	0	0.052	0.387	0	0.41	0.05	0.603	0.864
TCGA-AC-A62V	0	0.039	0.077	0	0.029	0	0	0.006	0	0	0.021	0.399	0	0.428	0.06	0.575	0.867
TCGA-C8-A275	0	0.039	0.091	0	0.036	0	0	0.015	0.108	0.001	0.231	0.232	0	0.239	0.11	0.465	0.914
TCGA-A2-A3XT	0	0.005	0.072	0	0.001	0.021	0	0.017	0.029	0	0.104	0.384	0	0.368	0.04	0.651	0.858
TCGA-A7-A13E	0	0.069	0.095	0	0.027	0	0	0.014	0.071	0	0.148	0.275	0	0.301	0.12	0.423	0.919
TCGA-E2-A1B5	0	0.057	0.063	0	0.022	0.001	0	0	0.032	0.026	0.059	0.323	0	0.418	0.1	0.47	0.901
TCGA-E2-A1LK	0	0.049	0.128	0	0.028	0	0	0.01	0.104	0	0.184	0.208	0	0.269	0.1	0.474	0.91
TCGA-C8-A1HF	0	0.049	0.087	0	0.006	0.005	0	0.028	0	0	0.094	0.391	0	0.371	0.06	0.591	0.871
TCGA-BH-A209	0	0.048	0.07	0	0	0.058	0	0	0	0	0	0.399	0	0.452	0.07	0.537	0.863
TCGA-AC-A3QP	0	0.018	0.085	0	0.03	0	0	0.018	0.108	0.022	0.118	0.295	0	0.304	0.06	0.554	0.891
TCGA-E9-A22D	0	0.044	0.063	0	0	0.076	0	0	0	0	0	0.372	0	0.446	0.06	0.572	0.844
TCGA-S3-AA10	0	0.024	0.068	0	0	0.011	0	0.028	0.007	0	0.122	0.392	0	0.371	0.06	0.544	0.887
TCGA-WT-AB41	0	0.049	0.07	0	0	0.064	0	0	0	0	0	0.363	0	0.454	0.06	0.556	0.853
TCGA-AC-A62X	0	0.068	0.074	0	0.023	0	0	0.021	0.008	0	0.121	0.322	0	0.364	0.07	0.528	0.888
TCGA-D8-A1Y2	0	0.03	0.079	0	0.014	0	0	0.027	0.1	0	0.127	0.313	0	0.31	0.06	0.57	0.89
TCGA-LL-A50Y	0	0.025	0.064	0	0.002	0	0	0.03	0	0	0.048	0.415	0	0.416	0.06	0.569	0.876
TCGA-B6-A0RS	0	0.044	0.032	0	0.003	0	0	0.049	0	0	0.1	0.402	0	0.371	0.06	0.573	0.881
TCGA-AQ-A54N	0	0.033	0.06	0	0	0.007	0	0.025	0	0	0.028	0.398	0	0.449	0.03	0.657	0.843
TCGA-C8-A26X	0	0.017	0.053	0	0	0.007	0	0.041	0.004	0	0.106	0.395	0	0.378	0.04	0.644	0.861
TCGA-GM-A3NY	0	0.029	0.066	0	0.028	0	0	0.026	0.054	0	0.075	0.353	0	0.37	0.11	0.463	0.906
TCGA-AR-A1AW	0	0.051	0.068	0	0	0.05	0	0	0	0	0.002	0.363	0	0.467	0.05	0.618	0.836
TCGA-LD-A66U	0	0.014	0.082	0	0.036	0	0	0.041	0.025	0	0.08	0.365	0	0.356	0.05	0.594	0.868
TCGA-LL-A5YL	0	0.047	0.065	0	0.045	0	0	0.03	0.03	0	0.062	0.358	0.001	0.362	0.07	0.527	0.883
TCGA-E2-A572	0	0.055	0.063	0	0.024	0	0	0.001	0	0	0	0.412	0	0.445	0.04	0.645	0.844
TCGA-AC-A62Y	0	0.021	0.064	0	0.009	0	0	0.028	0.07	0	0.08	0.362	0	0.366	0.11	0.465	0.91
TCGA-BH-A0BZ	0	0.029	0.055	0	0	0.018	0	0.033	0.013	0	0.12	0.376	0	0.356	0.06	0.59	0.875
TCGA-5L-AAT1	0	0.026	0.081	0	0.023	0.001	0	0.024	0.031	0	0.088	0.371	0	0.355	0.06	0.573	0.879
